	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
Turicibacter_sp._LA61	0	0	0	0	0	0	0	0	10.39416308	0	0	9.695464652	7.940508115	8.831288444	8.138394589	7.381255602	0	0	0	0	0	0	0	7.865641369	7.873767877	8.485908942	5.309305532	8.269347251	0	0	0	0
Ruminococcus_sp._N15MGS57	0	0	0	0	0	0	0	0	0	0	0	0	4.764219474	4.952353586	0	4.794034046	5.473834531	6.071326235	5.691876746	5.137666642	0	0	0	0	6.241669609	6.174728095	6.726713571	5.950679685	0	0	0	0
Ruminococcus_sp._DJFVR52	0	0	7.215948439	0	0	0	0	5.119706638	0	0	0	0	0	0	0	0	7.233680518	6.925505491	6.748471541	7.5368416	0	0	0	0	5.137934887	4.985173565	0	6.334800313	0	6.396447977	6.530187294	6.802282672
Ruminococcus_bicirculans	9.627726848	0	0	0	0	0	0	0	0	0	0	0	0	4.898684691	4.092206602	4.903745836	0	0	0	0	0	4.92792622	0	0	7.757960149	6.935130055	8.274407097	5.184968882	10.72280801	9.643557933	9.705338048	9.853741209
Ruminococcus_sp._JC304	0	0	0	0	6.799684307	5.384505079	5.503438244	5.638310574	0	0	0	0	9.839304746	10.10393194	9.670506115	9.979808268	0	5.097978627	5.001831202	4.793963155	0	0	0	0	5.36217455	5.100613803	5.129354889	0	0	0	0	0
Eubacterium_eligens	0	0	0	0	0	0	0	0	4.713306458	6.440236483	0	6.198073157	0	0	0	0	0	0	0	0	0	0	0	4.580918286	5.137934887	0	5.543071161	4.443256343	5.725912845	5.530680217	6.721461579	5.899822133
Roseburia_inulinivorans	0	0	0	0	0	0	0	0	11.34730327	9.633334382	11.43558912	10.80405218	4.338479271	4.595559522	0	4.373522197	0	0	0	0	6.212015375	5.377215498	5.705027041	6.324349193	3.789619441	4.52967263	3.658157517	0	0	0	0	0
Bacteroides_uniformis	0	0	0	4.619038781	9.997541302	10.17182967	9.592156544	9.666362056	0	0	0	0	0	0	0	0	8.135005515	8.940622895	9.140628291	9.936425525	10.32689926	10.59399947	10.30250543	10.86522374	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron	0	6.593775571	6.784176998	7.320716921	9.248481474	9.197034077	8.953534539	8.890597273	0	0	0	0	0	0	0	0	10.18877366	9.672380468	9.733658769	9.965881179	9.284374361	9.638807727	8.837800249	8.345580026	0	0	0	0	0	0	0	0
Bacteroides_stercorirosoris	0	8.06798789	0	8.544558581	8.46805026	7.730751961	8.235379244	7.73261694	0	0	0	0	0	0	0	0	0	0	0	0	0	8.406162924	0	0	0	0	0	0	0	0	0	0
Clostridium_citroniae	7.250511791	7.32298851	6.361569571	7.26732734	8.77851913	8.584834273	8.288496823	7.840147404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_faecis	5.529245759	0	6.400947417	4.697118355	5.762866806	6.866351937	6.67466571	5.463779495	0	0	0	0	4.9749293	5.458189235	0	5.025254886	0	0	0	0	7.699080857	7.10917749	7.992704709	7.906999322	0	0	0	0	0	0	0	0
Flavonifractor_plautii	0	0	0	0	7.167583707	6.793591281	6.31896445	6.174443965	0	0	0	0	0	0	0	0	0	0	0	0	7.175766579	7.136267526	7.201934712	7.111385074	0	0	0	0	0	6.718752373	6.957539385	6.675927021
Escherichia_coli	6.156760862	7.513843685	5.66758992	7.413262189	7.43689118	8.643759237	6.956505608	6.520515005	0	0	0	0	0	0	0	0	5.213626975	5.521171937	4.502168653	4.825947595	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_cellulosilyticus	0	0	0	0	6.215034016	6.540975542	6.261673849	6.456693544	0	0	0	0	0	0	0	0	0	0	0	0	9.688254057	7.415946971	10.26394998	0	0	0	0	0	0	0	0	0
Ruminococcus_sp._CE2	6.983406068	6.460395665	0	6.785641514	5.844789389	6.382882176	6.527769738	7.252971437	0	0	0	0	4.899473124	0	0	0	0	0	0	0	0	0	0	0	6.735956779	6.288668277	6.404232148	5.950679685	0	5.812919836	0	0
Clostridium_sp._FS41	6.097745978	6.512450001	5.503622258	6.108267273	7.851828296	7.455899388	7.200520686	6.68869288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_nordii	0	0	0	0	5.771271597	5.465627418	5.547685575	5.733717514	0	0	0	0	0	0	0	0	6.171647926	5.191128124	5.581831333	5.674183483	6.717069509	6.102520501	6.520838988	6.228172377	0	0	0	0	0	0	0	0
Catenibacterium_mitsuokai	0	0	0	0	0	6.54564732	0	6.018987953	0	0	0	0	0	0	0	0	0	0	5.628165061	6.174056163	6.683623519	7.142961293	6.880972682	7.031714558	0	0	0	0	0	0	0	0
Bacteroides_sp._S11	0	0	0	0	4.821927723	4.847303812	4.628512237	4.382929428	0	0	0	0	0	0	0	0	6.084377374	5.269162286	5.653988337	5.839987155	5.16287619	5.558379403	4.740613578	4.600258688	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens	0	7.723108793	8.088614906	8.426320634	0	0	0	0	0	0	0	0	0	0	0	0	9.105354456	8.887491252	8.676725635	9.01449242	5.532064412	5.34274278	0	6.335932702	0	0	0	0	0	0	0	0
Clostridium_tertium	5.417854927	6.094931512	0	0	5.240391823	5.961409923	5.656753679	5.571010061	8.402350067	7.416131538	9.375727118	6.498204416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_sp._D26	0	6.775174516	5.259842327	6.444517625	5.018306105	3.74232597	4.754676109	0	0	0	0	0	8.232082638	8.484879236	7.789567872	8.175083248	6.410443876	5.387601873	5.356608748	5.988684687	0	0	0	0	0	0	0	0	0	0	0	0
