	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000086	19	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0
Otu000213	0	8	0	1	0	0	0	13	0	0	0	0	0	0	5	0	0	0	1	0	0	4	55	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	42	32	0	30	0	1	0	0	0	2	0	0	6	7	0	0	1	0	0	2	0	0	0	5	0	0	16	0	0	422
Otu000390	0	96	0	1	123	18	0	0	5	0	0	1	0	0	95	0	0	0	4	5	2	9	13	2	1	33	0	0	0	1	0	1	1	1	1	9	0	0	0	50	0	4	57	4	0	51	0	1	0	5	0	0	1	5	0	1	0	0	0	9	11	0	11	11	0	1	6	0	0	10
Otu001205	3	0	10	24	1	7	8	30	4	3	8	1	1	1	0	0	2	11	29	5	8	4	52	12	13	2	10	4	7	5	2	16	25	16	4	0	20	4	18	6	9	4	8	10	4	10	14	0	1	11	7	0	1	10	2	8	3	1	12	18	11	22	4	23	16	11	12	1	25	16
Otu000060	0	4	10	2	13	3	3	10	12	0	8	2	28	5	35	12	3	1	7	21	2	6	44	0	2	32	2	0	15	12	2	1	4	0	2	5	9	1	9	6	6	14	7	2	11	26	4	2	6	4	12	6	5	22	1	2	0	6	1	35	10	0	17	51	4	9	25	10	0	3
Otu001042	5	0	2	30	0	4	34	0	8	2	0	44	11	0	0	0	2	33	1	3	17	0	5	5	13	0	1	0	1	0	0	0	13	8	0	0	0	17	19	0	52	3	1	21	12	0	2	0	0	3	0	1	65	1	0	1	2	3	21	0	19	13	0	0	30	54	1	2	30	0
Otu000071	1	7	4	7	0	0	2	0	0	0	2	3	0	0	0	11	0	0	0	11	0	41	0	0	0	0	0	1	0	45	8	0	0	0	0	0	0	2	84	0	0	17	0	6	2	21	0	0	24	2	3	0	13	34	0	0	0	1	0	0	47	1	1	0	2	3	6	177	1	20
Otu000072	2	0	0	13	0	12	11	14	4	1	15	0	5	3	1	1	0	7	0	18	3	48	7	0	4	2	1	0	0	3	3	3	3	2	1	7	2	2	24	12	10	3	0	11	0	39	2	0	0	4	5	6	2	69	2	4	0	2	16	6	66	9	43	0	0	2	6	12	5	49
Otu000061	3	0	13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	73	3	0	0	0	1	0	0	0	0	8	0	0	10	0	0	0	0	0	3	0	0	70	0	1	11	0	0	0	0	0	0	0	0	39	3	4	0	0	0	0	25	5	101	0	0	0	46	7	3	162
Otu000073	0	2	0	2	12	0	0	0	2	0	4	0	3	3	0	0	0	7	0	76	8	16	3	0	1	0	2	0	2	0	10	0	10	1	5	1	1	2	15	3	7	1	0	7	15	0	1	0	4	28	0	95	0	70	0	0	1	13	11	3	7	4	3	14	11	26	32	13	0	29
Otu000104	1	10	3	14	15	8	5	3	2	2	9	0	8	2	7	3	2	0	4	21	4	10	48	0	5	15	5	0	9	0	2	2	19	2	0	2	6	8	1	7	3	32	5	1	0	13	0	0	4	9	2	20	5	32	0	3	0	15	2	41	10	0	7	34	1	17	29	4	1	24
Otu000054	1	7	0	5	0	3	0	2	23	0	4	5	1	0	95	0	0	0	11	28	6	14	0	0	3	0	3	1	2	0	4	5	2	3	9	1	0	0	1	10	1	2	3	3	6	70	0	0	4	13	3	14	0	48	4	4	0	1	0	13	5	0	57	0	6	30	5	7	2	8
Otu000118	0	174	9	5	0	2	0	1	0	0	2	1	0	0	2	2	0	3	2	8	0	10	0	0	28	9	0	10	5	0	0	0	1	4	0	5	0	0	3	0	8	1	11	2	0	82	17	0	0	18	2	0	0	10	0	27	5	13	11	2	11	1	16	0	2	5	3	3	5	1
Otu000093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu000694	0	188	6	54	0	0	0	0	2	0	0	0	0	14	0	5	0	6	0	4	0	0	0	0	15	26	0	6	0	0	0	1	0	0	0	1	0	0	0	50	0	0	0	0	2	7	0	0	0	101	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	0	15
Otu000078	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	475	0	1	0	0	0	0
Otu000667	15	0	1	2	0	10	21	3	30	0	15	17	1	0	0	0	2	0	7	6	15	0	0	1	5	1	13	1	15	20	11	11	9	0	0	4	12	4	1	0	3	2	2	4	6	4	2	0	82	24	0	9	2	0	6	3	0	11	27	2	4	13	3	0	4	0	2	28	3	1
Otu000152	0	30	0	0	17	1	1	3	0	0	0	0	0	0	2	0	0	0	0	14	1	2	0	0	0	0	0	0	4	0	25	10	6	0	2	0	0	11	3	0	0	0	0	0	0	57	4	0	9	3	0	46	1	158	0	0	3	0	0	1	3	2	38	1	2	0	17	2	0	20
Otu000497	1	1	1	5	0	0	0	0	0	0	0	2	1	0	0	103	0	0	0	3	0	31	0	0	1	3	0	0	0	1	0	0	0	0	0	0	4	1	5	0	0	4	0	19	6	3	0	0	0	6	2	1	40	22	0	0	0	0	7	0	22	0	7	0	1	2	149	5	0	33
Otu001120	0	0	0	0	2	0	81	0	12	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	29	0	0	27	20	0	0	51	0	31	0	0	0	143	1	0	49	2	0	0	0	0	1	0	0
Otu000142	0	7	9	25	3	48	1	0	3	0	19	1	1	0	7	0	0	3	0	31	6	4	0	2	0	2	0	25	3	0	8	1	2	0	0	10	0	0	42	23	1	3	12	0	0	3	4	0	0	13	0	0	0	18	0	12	4	0	0	0	12	0	51	1	0	1	0	10	6	19
Otu000084	0	4	0	5	0	0	2	7	0	0	0	0	0	0	0	12	0	2	0	92	1	9	4	0	2	1	0	2	0	7	0	0	10	0	0	0	1	7	8	0	1	11	0	0	1	32	1	0	0	6	11	0	9	139	3	1	1	7	0	0	6	7	5	11	10	2	5	6	2	2
Otu000349	0	113	0	3	2	3	0	5	0	0	0	1	0	0	0	0	0	0	0	41	0	0	10	0	0	3	119	0	0	0	0	0	1	0	0	0	0	0	0	130	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0	0	0	0	3	0	0	3
Otu000124	0	16	0	0	1	4	0	5	0	0	7	0	0	2	4	4	0	0	2	11	3	4	1	4	0	5	4	0	0	3	3	0	0	17	6	1	13	1	2	55	2	8	0	6	0	9	0	2	3	5	0	112	1	25	0	1	0	0	16	13	17	0	6	3	1	8	5	3	0	18
Otu000098	0	11	8	4	0	0	0	0	1	0	1	0	1	0	10	0	0	4	0	16	0	0	0	0	0	3	1	4	4	0	0	0	0	2	1	0	6	1	1	19	1	1	6	5	0	3	0	1	0	0	0	289	1	0	0	0	0	0	0	9	1	7	3	7	0	0	4	0	0	5
Otu000081	0	16	0	8	0	9	1	0	27	0	5	2	0	0	43	2	0	1	5	14	6	72	3	0	2	0	4	2	1	0	1	1	7	0	0	4	2	0	0	6	2	0	6	5	3	13	0	0	0	3	1	96	0	25	0	0	0	2	0	0	3	3	8	0	2	13	2	0	0	0
Otu001560	1	21	0	6	0	3	3	3	6	0	8	3	2	3	9	2	0	0	1	25	1	2	3	1	0	6	3	1	1	3	0	0	6	2	1	0	0	3	5	2	3	0	1	2	3	14	14	2	3	12	4	17	1	0	0	5	1	1	0	3	12	1	18	149	5	0	23	0	1	0
Otu000095	0	1	0	9	0	0	2	0	0	0	0	0	0	18	0	2	0	0	0	4	2	0	0	0	1	0	0	16	3	0	6	0	0	0	0	0	12	3	12	1	14	1	0	0	4	29	0	0	0	0	2	0	5	10	0	2	0	1	5	0	29	0	170	0	5	0	6	4	0	48
Otu000099	0	0	4	5	0	8	0	0	3	2	4	1	3	0	10	3	0	0	2	96	0	4	9	0	0	6	0	0	0	3	0	1	3	0	62	5	0	3	12	6	1	2	0	4	9	3	1	1	4	5	6	24	0	6	0	1	0	3	0	16	11	3	7	15	0	9	20	5	1	13
Otu000579	2	1	4	5	0	0	0	0	0	0	3	0	0	2	0	8	0	3	0	0	0	19	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	12	1	0	3	0	40	2	34	0	0	4	4	11	5	66	46	0	0	2	0	7	0	43	2	0	0	0	1	11	51	0	9
Otu000131	0	0	0	24	0	0	8	0	0	0	0	0	8	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	2	10	0	14	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	280	14	6	4	0	0	0	2
Otu000128	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	16	0	0	0	0	0	0	176	0	0	0	91	0	0	0	0	10	0	0	0	0	3	0	0	0	0	42	0	49	0	0	0	0	0	0	0
Otu000062	0	5	1	0	0	2	0	0	2	14	4	1	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	84	1	23	1	0	0	0	2	13	0	0	25	18	0	0	0	9	0	1	0	0	0	0	9	0	0	95	0	1	0	0	1	0	2	0	40	1	2	0	0	25	3	2
Otu000079	1	0	2	6	1	0	3	0	1	0	4	0	0	2	0	30	1	0	0	1	1	12	3	0	4	0	0	0	0	39	0	0	6	0	7	0	1	1	9	0	0	15	0	2	2	32	3	0	13	16	3	0	7	71	0	1	0	0	2	0	12	4	12	0	0	3	13	36	0	8
Otu000631	2	8	0	0	0	9	12	0	0	2	0	0	0	38	0	11	0	0	0	7	0	9	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	8	6	0	1	0	3	0	3	1	0	0	19	0	0	2	15	0	0	0	27	0	0	31	0	31	52	0	6	11	60	0	11
Otu000117	0	33	0	0	6	3	1	5	1	0	1	0	2	1	12	18	0	0	4	3	2	11	11	0	0	2	2	0	2	7	4	4	1	0	0	0	10	1	5	5	2	1	0	5	3	23	0	1	0	3	3	60	0	25	0	3	0	0	2	3	3	3	35	8	0	3	8	23	0	1
Otu000262	0	0	0	3	3	0	3	1	28	1	0	1	0	2	20	0	0	9	17	12	1	0	0	25	2	8	57	0	2	0	2	13	5	3	10	5	9	5	0	0	8	4	9	1	0	1	1	0	2	14	0	8	0	3	10	10	2	2	10	0	9	2	5	10	4	0	3	0	0	6
Otu000696	0	0	0	12	0	16	8	7	12	0	4	1	4	1	0	0	1	2	3	5	13	0	13	15	7	3	2	10	2	1	2	5	17	12	0	1	3	0	7	5	3	3	1	6	5	26	7	0	6	4	4	4	2	1	12	3	19	3	8	7	1	25	6	1	0	0	9	0	8	3
Otu000139	1	9	9	6	10	4	3	3	4	0	2	0	0	2	5	3	2	1	1	7	2	5	3	0	7	4	1	3	1	1	0	5	1	7	0	1	1	0	5	63	2	3	6	0	0	21	6	1	0	5	0	33	0	21	0	7	3	2	5	3	8	0	32	5	2	1	5	1	0	14
Otu000237	2	0	5	42	0	8	1	0	0	0	0	1	0	13	0	0	1	0	0	14	0	2	0	0	2	46	0	0	0	0	2	0	0	0	0	0	0	3	0	98	2	0	0	6	2	73	0	0	2	15	0	0	0	7	0	0	1	0	0	0	0	11	0	0	0	0	1	0	2	0
Otu000069	0	0	4	24	0	1	0	0	0	4	63	4	0	44	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	111	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
Otu000173	0	1	0	16	4	8	2	0	0	0	2	3	1	9	52	2	0	5	0	11	0	5	43	2	0	0	0	0	1	1	5	10	17	2	0	2	0	0	13	0	2	2	0	0	0	12	0	1	0	4	0	0	0	24	0	0	0	50	1	4	2	24	7	2	0	0	0	0	0	4
Otu001061	2	1	13	6	0	1	56	0	3	0	11	0	2	2	0	0	0	11	2	2	9	1	0	0	3	14	18	1	0	1	14	12	4	3	0	0	2	3	6	1	0	0	16	22	7	1	2	0	1	1	13	0	5	4	8	3	0	4	11	0	8	0	12	4	0	9	0	2	11	4
Otu000174	0	10	0	1	0	2	11	0	0	0	2	2	0	12	0	1	0	5	0	28	1	3	0	0	7	0	0	6	0	0	0	0	2	0	0	0	0	0	12	0	0	7	0	6	4	15	0	0	6	7	2	2	48	8	0	0	0	14	2	0	8	1	78	2	0	4	0	21	1	4
Otu000431	1	0	0	0	4	0	10	0	1	0	0	5	0	0	0	0	0	1	0	100	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	2	0	8	0	0	0	21	2	0	23	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	136
Otu000051	2	5	1	3	20	1	7	28	2	3	2	2	1	2	1	0	0	1	0	40	0	0	0	0	1	19	0	1	1	4	2	2	14	0	0	0	0	3	5	1	1	28	1	4	4	15	5	0	4	1	0	0	0	26	1	3	0	8	1	0	3	0	5	0	1	17	16	6	4	2
Otu000088	3	0	0	0	0	0	1	7	0	0	0	2	5	13	28	0	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	4	0	18	0	0	0	5	3	0	0	0	0	3	0	0	0	0	0	0	0	10	0	4	0	0	205	0	0	0	1	0	1	0
Otu001229	0	0	0	0	0	1	6	1	0	0	2	0	0	2	0	0	0	0	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	120	0	11	0	26	0	0	2	0	0	0	1	87	0	1	0	4	0	0	0	0	0	0	0	1	6	10	0	28
Otu000049	0	0	0	0	0	0	0	0	0	0	0	1	0	59	0	0	0	10	5	16	3	0	0	0	18	20	9	0	0	0	0	40	1	2	0	0	0	0	0	71	2	4	0	0	0	14	6	0	0	2	0	0	0	13	0	0	0	0	0	0	0	2	1	1	2	1	0	2	2	0
Otu000616	0	0	0	0	2	0	5	0	0	0	0	1	0	1	0	0	0	0	10	18	1	1	15	0	1	2	2	0	0	0	7	0	2	20	0	3	7	0	0	3	0	4	1	0	0	47	0	0	0	4	2	0	2	0	42	0	70	0	0	11	0	6	0	0	0	0	4	6	0	5
Otu000035	0	1	0	0	0	4	0	7	0	0	0	0	0	0	5	1	0	0	0	0	0	2	16	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	246	0	0	0	0	0	1	0	1	0	3	0	0	3	0	0	0
Otu000125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	2	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0
Otu000107	3	4	0	0	4	0	0	2	0	0	2	0	0	0	3	1	0	0	1	0	0	0	16	0	0	9	0	0	0	2	6	0	0	2	24	1	3	1	2	22	0	4	1	2	7	2	3	0	7	2	0	95	1	16	3	0	0	0	0	24	0	0	0	4	2	1	4	10	0	2
Otu000985	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	3	0	2	1	0	0	0	0	0	1	0	10	6	0	0	0	246	0	1	0	0	0	0	0
Otu000090	4	0	1	8	0	22	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	13	0	0	2	0	0	0	0	0	2	0	4	0	11	0	2	0	1	0	0	0	0	11	0	43	11	0	0	14	0	0	21	24	0	0	2	2	2	0	10	0	0	0	20	1	37	16	0	2
Otu000150	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	8	0	28	0	0
Otu000082	0	0	0	3	0	0	0	0	0	0	2	0	0	4	0	1	0	1	0	4	0	8	0	0	1	0	0	1	0	8	0	0	0	0	0	0	0	0	2	3	0	6	0	59	0	34	0	0	0	7	4	0	1	89	0	0	0	0	0	0	0	0	0	0	0	2	12	31	1	0
Otu000265	1	16	3	0	4	1	1	11	4	1	0	0	0	0	1	0	0	1	3	0	1	1	0	0	0	4	0	3	1	3	1	1	0	3	75	0	0	3	2	17	0	3	2	2	3	21	1	0	1	2	1	0	0	1	0	1	0	3	0	2	7	0	38	2	4	6	3	3	0	13
Otu000168	0	9	0	0	2	35	1	0	0	0	0	0	0	11	0	0	0	0	0	0	1	1	12	0	0	0	24	0	0	0	2	3	0	0	48	0	0	2	24	0	9	0	0	0	0	0	0	0	46	0	0	0	0	16	0	0	0	0	0	0	0	18	4	6	0	0	0	0	0	0
Otu000123	2	2	0	1	0	9	0	2	1	0	0	0	7	1	28	0	0	2	1	17	7	0	50	0	0	0	6	0	2	2	1	6	5	2	5	0	2	3	4	1	8	4	4	0	1	16	0	0	1	8	3	0	0	10	11	3	0	0	3	1	3	9	3	6	2	0	3	0	0	2
Otu000119	0	5	11	1	16	5	2	1	2	0	2	0	4	8	3	16	1	3	1	11	2	0	0	0	1	17	0	6	0	0	0	0	17	3	0	30	1	2	0	3	2	0	2	1	0	3	0	0	2	10	3	4	0	25	0	0	0	1	1	0	13	0	0	7	1	13	4	0	0	3
Otu000338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu000833	2	5	0	2	0	0	5	49	2	0	5	0	2	0	0	0	1	4	0	13	5	0	2	4	1	1	5	8	1	2	0	1	3	0	0	0	2	5	2	0	2	1	6	0	2	0	0	1	6	1	4	0	1	1	6	6	4	2	13	0	0	0	1	3	32	38	1	3	0	3
Otu000068	0	0	0	16	0	6	0	1	8	0	6	3	3	0	76	3	0	0	4	10	1	7	4	0	0	0	0	0	0	0	1	0	9	4	1	2	0	0	0	6	3	1	1	2	4	9	0	0	0	8	3	2	1	20	1	0	0	0	0	1	3	0	17	0	0	3	9	1	1	7
Otu000101	1	35	5	7	0	0	3	0	1	0	1	1	0	9	0	0	0	2	0	25	2	4	0	0	1	4	1	0	2	0	5	5	2	0	5	1	0	0	4	10	0	0	1	5	5	27	0	0	0	4	6	8	0	39	0	0	3	0	0	0	0	0	5	0	0	0	5	0	0	23
Otu000102	2	16	2	0	1	0	0	0	5	0	0	0	0	0	0	12	0	1	0	15	5	2	7	0	1	0	2	2	0	3	1	0	0	0	5	1	2	2	11	13	0	0	4	0	6	12	2	1	0	8	0	0	2	5	0	0	0	0	0	11	5	0	24	0	0	1	39	18	0	14
Otu000161	0	14	0	0	0	11	0	0	0	0	1	0	0	0	2	0	0	5	8	4	2	4	5	2	0	4	5	3	0	0	0	8	1	4	0	1	2	0	1	22	0	1	6	0	0	5	0	0	0	2	0	50	0	13	1	0	0	1	1	1	29	3	5	10	4	3	1	1	0	13
Otu000063	3	0	1	0	1	3	0	4	0	0	6	9	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	7	0	0	5	2	0	1	6	0	14	3	5	0	0	0	0	1	2	9	0	0	150	1	1	2	0	0	3	1	0	5	0	2	4	0	0	0	1
Otu000109	0	0	6	5	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	2	0	97	0	0	3	1	2	0	1	33	0	0	0	0	3	0	39	0	0	0	1	1	3	12	0	6
Otu000138	0	9	4	5	27	0	3	0	3	0	4	0	3	4	3	15	0	0	0	6	0	10	5	0	1	18	0	8	9	1	0	0	4	0	0	3	0	1	4	0	1	6	4	0	6	9	0	0	1	4	1	5	2	14	0	0	1	1	0	6	7	0	6	4	1	1	18	2	0	4
Otu001021	0	98	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	3
Otu000155	0	0	0	18	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	48	0	0	134	0	0	0	0	0	25	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Otu000678	0	0	0	3	2	0	15	0	0	0	1	0	0	15	0	8	0	2	0	39	0	8	0	0	6	1	0	1	0	0	1	0	0	0	0	3	0	0	1	2	1	1	1	0	4	3	0	0	0	5	2	0	12	8	0	1	0	12	0	1	3	0	35	3	1	0	11	20	0	15
Otu000129	0	6	0	0	0	0	0	6	2	0	0	0	0	1	6	1	0	0	9	29	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	8	2	2	4	0	5	0	2	0	0	0	128	0	4	1	0	0	5	2	5	0	4	0	2	0	0	1	0	2	3
Otu000050	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	167	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0
Otu000094	0	1	0	29	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	119	0	0	3	0	0	0	0	0	1	0	0	0	0	9	0	18	1	0	0	0	0	7	5	0	0	0	0	4	0	0	1	10	0	0	0	0	0	1	19	0	0	0	0	0	0	0	2	0
Otu000112	0	0	23	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	0	0	1	0	52	0	0	0	0	0	1	0	0	0	0	0	8	9	0	0	0	16	0	7	0	0	0	2	0	12	1	0	0	0	31	0	0	30	0	0	0	2	0	3	0	0	2
Otu000113	5	0	0	0	0	0	0	3	0	0	6	2	0	0	0	0	0	0	0	0	0	36	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu000137	0	23	3	4	0	0	5	0	0	0	0	0	1	0	4	0	0	0	0	1	4	7	1	0	1	1	0	1	0	6	1	0	2	0	0	1	0	2	13	0	0	2	0	3	6	3	0	0	0	6	3	0	0	9	0	0	0	0	0	3	4	0	1	0	1	0	25	2	0	87
Otu000647	0	0	1	8	3	6	3	2	27	0	1	0	1	2	23	0	0	0	10	1	0	2	0	32	0	1	14	0	1	0	0	5	1	7	0	3	8	1	2	0	4	0	3	1	0	0	2	1	0	1	0	0	0	0	0	2	3	0	12	0	2	3	11	0	10	0	8	0	2	5
Otu000949	1	1	0	19	0	40	0	0	1	0	1	0	3	3	0	0	1	0	0	0	0	0	0	9	0	9	4	0	1	0	0	3	0	4	0	4	0	0	0	109	0	2	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	6
Otu000842	3	4	3	11	11	0	1	5	2	0	0	3	0	2	3	9	0	0	0	16	1	4	2	0	0	8	1	4	6	2	2	0	0	0	0	3	3	0	0	7	0	7	1	0	1	7	3	0	0	6	0	5	2	8	1	0	0	3	0	24	1	2	5	16	0	3	13	2	0	4
Otu000299	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	12	12	0	0	0	0	0	0	34	34	0	0	0	0	0	0	47	0	36	0	0	10	0	21	0	0
Otu000162	0	0	0	0	0	138	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu000750	1	2	1	0	0	2	1	0	0	0	0	1	3	3	8	8	0	0	1	8	0	1	3	0	1	0	0	0	11	2	5	0	3	1	48	1	5	3	3	0	3	0	0	0	2	4	1	1	3	8	1	9	1	10	0	0	0	7	0	3	3	0	8	14	0	1	4	2	0	9
Otu000196	0	3	0	0	0	6	0	0	0	0	0	0	0	1	0	5	0	0	0	5	0	3	1	0	6	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	13	0	4	0	0	0	3	1	0	1	86	0	1	0	3	0	0	4	0	25	3	1	12	11	0	0	11
Otu000821	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	171	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
Otu000103	0	0	0	0	1	4	6	0	0	0	4	0	0	2	0	1	0	0	0	16	0	37	0	0	1	0	0	0	0	3	0	0	5	0	1	0	0	0	5	0	0	5	0	5	0	50	0	0	8	3	2	0	5	9	0	3	1	0	1	0	5	0	2	0	1	0	14	10	0	2
Otu000157	0	10	0	0	0	0	0	0	0	0	0	0	2	6	16	0	0	0	21	0	1	0	2	0	0	0	0	0	0	0	21	23	2	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	16	0	0	0	2	17	8	8	39	0	0	0	3	0	0	0	0	0	0	0	0
Otu000280	1	0	0	6	0	3	1	0	0	0	0	0	0	1	9	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	0	2	8	0	1	0	0	0	4	0	0	2	0	3	1	16	0	0	0	21	0	0	0	106	0	0	0	0	0	0	2	2	10	0	0	0	0	0	0	1
Otu000663	0	3	3	12	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	20	0	2	0	5	0	0	0	1	0	0	0	9	0	0	2	0	0	0	11	0	6	0	0	0	73	6	0	32
Otu001161	2	0	0	69	0	0	1	0	0	0	47	3	2	0	0	0	0	0	0	3	2	0	0	5	4	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	3	0	0	0	2	0	0	0	5	20	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	1
Otu001499	1	0	0	0	0	0	52	0	0	0	11	4	3	0	0	0	0	7	0	5	14	0	0	2	1	0	2	0	0	0	1	0	2	0	0	6	1	0	6	0	5	4	2	9	6	3	0	0	0	0	2	0	4	0	7	0	0	2	28	0	1	0	0	0	0	0	0	5	8	2
