	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000024	0	0	0	0	1150	0	0	0	0	0	0	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2958	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0
Otu000014	63	290	32	50	8	0	121	55	61	1	29	1	35	57	245	8	33	5	0	0	149	290	152	0	20	0	29	5	15	8	0	138	27	13	111	3	51	8	43	152	61	60	31	0	207	314	0	0	0	365	4	1	46	590	25	131	0	0	77	0	54	0	668	0	0	19	0	161	0	7
Otu000494	32	1	0	173	0	12	217	2	12	84	120	31	58	0	0	0	2	142	0	64	24	2	1	30	23	0	48	0	66	3	7	42	27	10	1	5	12	47	73	10	300	1	0	19	75	9	11	0	14	1502	12	16	161	1	17	4	15	22	83	0	31	27	4	1	400	643	13	36	240	30
Otu000046	10	0	0	0	0	1070	0	0	0	0	0	0	1	0	0	4	0	0	0	1	29	92	43	0	0	0	86	0	0	0	0	896	0	0	0	0	0	0	0	1803	0	11	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	25	0	372
Otu000012	2	0	0	234	11	145	23	0	4	0	36	3	7	0	1	0	1	17	0	178	25	96	0	13	9	9	103	0	14	1	17	178	165	81	0	8	49	14	52	0	39	7	0	14	7	234	38	0	2	197	1	203	0	636	30	12	20	14	111	0	447	0	366	0	45	30	58	53	17	274
Otu000013	6	2	5	95	4	6	15	93	6	2	18	2	2	2	0	135	0	0	0	103	3	131	48	1	43	15	0	0	4	170	6	0	65	0	54	5	137	50	125	4	1	114	1	167	2	479	52	0	84	52	66	1	262	320	0	50	6	18	6	0	243	8	24	0	7	10	491	349	2	65
Otu000020	0	0	954	0	0	1	0	0	0	0	0	19	0	0	0	145	29	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	751	0	0	0	0	0	0	155	0	0	0	0	0	31	0	0	0	0	192	0	0	0	0	0	0	0	0	0	1826	0	0	0	0	0	0	62	0	0
Otu000018	2	0	0	40	0	126	0	0	0	0	52	13	8	7	0	13	0	36	0	227	3	36	1	8	5	8	58	0	1	33	28	36	8	184	18	4	52	7	3	0	43	0	0	277	1	72	269	3	34	13	101	0	284	57	1	9	52	27	70	0	245	61	296	3	150	9	12	61	6	692
Otu000023	0	0	8	67	0	37	54	0	5	0	26	51	7	0	0	0	0	24	0	52	18	43	122	11	115	7	13	0	0	75	18	33	56	4	34	0	59	6	80	0	0	86	0	0	218	49	33	3	22	0	3	0	160	925	6	73	72	0	60	0	515	0	84	0	67	0	0	74	58	93
Otu001270	0	1620	3	0	3	0	1	0	0	1	11	0	0	0	2	451	0	5	0	37	6	0	0	0	0	0	0	3	0	1	11	0	5	1	0	46	0	0	9	558	1	3	4	24	0	328	1	0	0	0	0	0	3	53	0	3	0	0	8	0	3	4	21	5	2	0	115	177	20	0
