	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
m_93	-0.322335096	-0.049352034	-0.089768088	-0.228550429	-0.565305595	-0.283614334	-0.185825822	-0.120994414	0.02643325	-0.05814963	-1.312344013	-1.347836107	-0.706519372	-0.155765908	-0.536994197	0.073037245	0.130489777	-0.574489215	-1.421725631	0.197610466	-0.078006298	-0.297373799	-0.416544157	-1.477973128	-0.160443966	-0.58234982	-0.211055036	-1.432960587	-0.33462126	-0.136271285	-0.43499741	-0.223506597	-0.212109172	-0.194916847	-0.152483862	-0.568217799	-0.383472566	-1.304929337	-0.427425783	0.024096961	0.344467955	-0.08325249	-0.523747883	-1.345340982	-0.882918425	-0.087757908	-0.197549775	-0.003555278
m_98	0.230816717	-0.818626676	-0.359158273	0.710475436	0.553841621	-0.397541103	-1.193064407	0.369051135	0.245072766	-0.138067814	-0.238910838	0.238047532	-1.164484439	0.709275789	0.373641602	0.410978756	-0.688540738	0.469762397	0.801972299	0.534986186	0.48679912	0.501889708	-0.095529435	0.780067451	0.136036606	0.201885347	0.490456898	0.325330423	0.435883695	-1.243917077	-1.027969883	-1.31725848	-0.83807607	-0.216128015	0.115175207	-0.528878527	-0.009203178	0.066725568	-1.248309354	0.011036125	0.857711969	-0.45972001	0.241170083	-0.956212595	0.567557175	-0.179196643	-0.42025301	-0.64507966
m_112	0.627794965	0.395825942	0.319704255	0.800503244	0.609591372	0.765663104	0.748787767	0.885251426	0.52730467	0.680055052	0.201653145	0.587189293	1.243567542	0.299145651	0.533499698	0.777062549	0.665619794	0.472720438	0.228343983	0.87009726	0.791274859	0.707060137	0.939963367	-0.756962151	0.412843129	0.470419018	0.580176507	0.537456249	-0.756891475	1.619311314	0.914804832	1.321010529	0.754568434	-0.598003093	0.53854561	0.875745947	0.954916748	0.526508583	-0.643553257	-0.6929294	0.848716755	0.656801352	0.221354807	0.074641496	0.041991268	0.583254167	0.398070179	-0.697619724
m_114	-1.024557965	0.209808017	-0.002187878	0.274153403	-1.078581187	0.081788674	0.00132339	-0.402889129	-0.946413166	0.939495263	0.550813985	-0.845621318	-0.989056798	-0.927833305	-1.016963196	-0.807072218	-0.903950849	0.061938127	-0.919511554	0.462647449	-1.005263318	-0.921892741	-1.055441473	-0.975759781	-0.907047857	0.219831603	-0.805778306	-0.930746641	0.351762329	-0.855579115	-0.839157508	-0.869815113	-0.914315294	-0.816800838	0.103373185	-0.901833136	0.058816589	-0.802714233	-0.862350978	-0.911727087	-1.06653919	-0.816448614	0.10236237	-0.144156352	-1.079671547	-0.887267075	-0.990715529	0.51864173
m_136	1.573084468	-0.045701109	0.645427089	0.553309362	1.025232422	0.305827635	0.11046556	0.530263684	0.60696643	1.623705497	0.27384216	1.341717894	0.310410115	0.51637385	0.290933858	0.900453736	-0.427976641	0.774149812	1.983438816	-0.067853145	0.236942311	-0.155391429	0.604671228	0.971177894	-0.254723379	0.61519468	0.171619185	0.709349672	1.622252701	-0.101681532	1.07214655	0.792721103	0.340484082	-0.158777058	-0.452395903	-0.014383513	0.960097162	0.975120452	0.204187249	0.604416679	0.181578236	0.921580495	-0.108489649	0.453251478	0.395072611	0.69424409	0.388909993	-0.057747439
m_144	0.154696693	-0.870152102	-0.650521383	-0.91696908	-1.061271312	-0.881744903	-1.016322954	-0.736544323	-1.12480889	-1.018919647	0.143277309	0.639672117	-0.605036743	-0.953500723	0.284747797	-0.521424884	-0.777341754	-0.753852018	-0.205125438	-0.797340953	-0.718277498	-1.954486462	-0.852341877	-0.204691045	-1.112543719	-0.870663335	-0.599425945	0.027054497	-0.060555876	-0.186769636	-0.738490423	-0.896758892	-1.030624125	-0.666224702	-1.159498404	-0.851835305	0.301891369	-1.835321288	-0.863446427	-0.428651189	0.676266482	-0.924185445	-0.932030631	-0.121955286	-1.294508222	0.504061487	-0.746588183	-0.595595386
m_158	-0.7220293	-2.047425115	-0.346082995	-2.011011398	-0.275339764	-1.151142431	-1.986555223	-1.458140969	-1.1085701	0.066411312	-0.275381434	-0.156986724	-2.044264076	-0.994477342	-0.057374069	-0.121092055	-0.979766611	-0.584671391	-0.288736951	-1.903571385	-0.090403657	-0.817282731	-0.220718853	0.552444826	-0.879448763	-0.486205187	0.121057173	-0.422276495	-0.546878363	-1.910808329	-0.621703981	-0.778509781	-0.963085693	-0.716006549	-1.014240746	-1.258117146	-0.331365042	-1.857949031	-1.917579374	-0.263775413	-2.121725988	-1.871682089	0.409773859	0.492927931	0.02973566	-1.94249223	-0.560342086	-1.971638267
m_171	0.878978304	0.975500496	1.180569671	0.97048282	0.508542695	1.127067859	1.110312337	1.283537546	0.882922454	0.831520359	0.992186343	0.764539001	1.013825974	0.939875511	1.082485579	0.882505552	1.199266999	0.98524257	0.835804709	1.154703559	1.250689186	1.064668407	0.775242858	-0.494697649	1.149957487	0.768920345	0.97013318	-0.134446854	1.109682856	1.033347307	1.13072499	1.311879654	1.33602642	1.007578382	1.073030314	0.656141435	0.689694336	1.020968576	1.419890378	1.088658362	0.998644407	1.15796767	0.755616593	1.055165676	0.775468451	1.09430551	1.141275801	1.204090423
m_172	1.227570788	1.407120482	1.288988384	1.024447398	1.199824096	1.441704953	1.214130169	1.554899819	1.459204398	1.353702992	1.369680316	1.317282311	1.473486552	1.696536758	0.791032281	1.575581393	1.047246352	1.319496667	0.944333229	1.310950556	1.580514063	1.104055134	1.189768228	0.932185202	0.976956306	1.20536925	1.413187155	0.713551468	0.820745462	1.251583078	1.451223157	0.922699996	0.749635731	1.328221312	1.190693793	1.173703519	1.519823398	1.179932831	0.877025923	1.279355979	0.989875114	1.436344064	0.704422393	1.549101589	0.464729304	0.824059061	1.146321597	1.433047973
m_179	1.262000755	1.129979055	0.576845462	1.369231952	0.857064922	1.158903304	1.061224292	0.269727936	0.914898179	0.552557243	0.220626273	1.116707242	1.272134024	0.480997699	0.407762607	1.007845575	0.033637641	0.909238082	0.743909451	1.049982049	0.598208636	0.760772426	1.272082923	1.579572888	0.845613702	1.269929435	-1.556193503	1.625206896	0.890709263	1.168581665	1.022965985	0.487629828	1.188921487	0.506362022	0.84076971	1.204546968	1.272004385	0.856612212	1.309396827	-0.963177135	0.86995952	0.553254538	-0.919777274	0.081361269	1.198565698	0.342104096	1.480447375	0.464520946
m_180	2.786723293	3.457144815	3.478725846	3.273742784	3.121948613	3.808447737	3.232811716	4.293149676	3.00649796	3.288160683	2.847960674	2.88322324	3.706278681	2.969554304	3.029698425	3.280336144	3.182424463	3.493931372	2.629030797	2.961885872	3.179936649	3.174051441	3.636930489	3.602896219	2.851972329	3.377479843	2.845030793	3.49342695	3.415271433	2.011049691	3.514542405	3.254502975	2.469017857	2.69356844	3.1069516	3.574065172	3.669360467	2.865949575	3.496567629	3.089001219	3.196153062	2.599666302	2.854948596	2.203991796	3.171186849	2.783468931	3.110243371	2.555072349
m_181	1.029506014	1.408968608	1.145515682	1.607974895	0.886978102	1.178809867	1.290084751	1.534597372	1.326584075	1.158087302	1.300421791	1.124820126	1.267997344	1.260813632	1.034385928	1.050966134	1.537218289	1.295354258	0.98894667	1.163830729	1.108540634	1.049050835	1.023953208	1.005292987	1.217538475	1.399217264	1.306303073	0.966762212	1.090437009	1.947851903	1.753746417	1.268636092	1.360202099	1.484161565	1.282760908	1.478998605	0.97625007	1.469301139	1.086785394	1.290825595	0.939197627	1.582778229	1.150561194	1.319628873	0.983992366	1.269882393	1.381366702	1.854676528
m_189	0.125276392	0.242624765	0.004962913	0.312491938	0.070976891	0.10851726	0.189021315	0.482450645	0.063144423	-0.519012856	-0.478094399	0.537548363	-0.039884747	0.099815556	0.0722876	-0.033170143	0.258390938	0.134407501	0.332512468	0.104520129	0.27571701	0.135494691	0.051255807	0.94549842	0.012657639	0.001131249	0.132823974	1.475558886	0.221639094	0.158147666	0.045473341	0.300619981	0.180571906	0.112302744	0.227742581	0.449523693	0.691934528	-1.078432108	0.259810265	0.059663604	0.275517071	0.225331095	0.331042504	0.022763822	0.675287926	0.094223833	0.082107746	0.536667136
