sample_id	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
outcome	susceptible	susceptible	susceptible	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	resistant	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	resistant
m_144	3927379	344282	590611	284234	270494	290206	213728	120557	172366	172925	2334824	7945868	629315	245008	5206659	501759	347902	342387	1346586	292313	503308		414904	1534323	161939	322759	418023	2358572	2137870	1212432	327729	244289	198856	367641	131136	291639	7496150		259270	790540	14376525	202820	291443	1367788	158493	6399949	456011	544089
m_158	521647		1190529		1652303	156066			178933	2104695	890421	1269061		222948	2368303	1261328	218289	505473	1110766		2136524	330718	1776523	8771072	276979	782234	2196258	838143	697684		428846	320740	232315	327825	183223	114436	1744142			1155579			6402630	5635105	3343917		700199	
m_171	20815384	24130545	40030652	21934523	10045514	29615521	28608635	12626251	17546223	12254574	16487818	10592738	26165610	19167118	32681119	12718200	32965967	18776385	14796679	26175368	46859821	25200499	17600806	786883	29638302	14075449	15515271	1626102	31638802	20126782	24251042	39495053	46258303	17347109	22400178	9393394	18308014	17319314	49783942	26015575	30201732	24505534	14197149	20565523	18620369	24912685	35224061	34304873
m_172	46449058	65190921	51382044	24836636	49346183	61116218	36334147	23585044	66140213	40783158	39323952	37822614	75403489	109450579	16704890	62733785	23229784	40538351	18997339	37509372	100144131	27592806	45714916	21027762	19899957	38451312	43034161	11458984	16266070	33266730	50725761	16119926	11989443	36296942	29370744	30930335	123814155	24974393	14263458	40358131	29598013	46520092	12618477	64132131	9104354	13371314	35635694	58118362
m_179	50281344	34438616	9969387	54938567	22412711	31868001	25551070	1223108	18886843	6446665	2789993	23832877	47428448	6663141	6911526	16973276	2251316	15761861	11974820	20567016	10430859	12517372	55255132	93364277	14706507	44614019		93497832	19109373	27479492	18922190	5919607	32967405	5470295	13121723	33206880	69976350	11862448	38600749	230886	22456753	6089071	299783	2184416	49327094	4407772	76914992	6248652
m_180	1683175556	7314951475	7953327005	4409487933	4124564332	14219988839	3793119416	12908820081	2332164344	3507022426	1182871356	1392170638	12887941940	2052275258	2894074883	3178749042	3171197445	6057602670	919158357	1679094386	3981512538	3241844466	12800301134	9851538740	1492341308	5715072655	1163206924	6902741262	6394529690	191195086	5868779848	3460716491	628320361	841815980	2421992282	7775821386	17470581771	1212025299	5939727674	2603612127	4759271761	677583471	1784568173	289711596	4631340174	1217822399	3279495164	769728810
m_181	29438260	65468930	36926545	95196344	24010852	33362715	43278236	22507862	48735482	25993524	33527304	24282274	46978834	40132382	29254809	18745034	71782257	38346318	21052623	26731293	33779411	24310370	31206345	24882891	34628550	60084047	33645676	20528483	30267335	165302316	101800950	35751901	48906364	51976890	36306306	62471180	35415793	48625407	23119812	41438179	26338138	65174053	35248914	37809676	30096237	37324794	61225216	153441177
m_182	791677		345806	706570	376425	537621				422698			450213		283739		208257			237384	560608		360363	674449	611297	404472			453938	204984	470707	247533	380491			357330	301479		440685	405100	230499		309787	367687	175486	533265	600320	459974
m_189	3670139	4463663	2671689	4821002	3667806	2837715	3429305	1996124	2657086	546720	558319	6280838	2312172	2770109	3192265	1544365	3777372	2647140	4643784	2331897	4963962	2966439	3323116	21682346	2160496	2402554	2256577	66245065	4094268	2682716	1992869	3848425	3233964	2207758	3198628	5837203	18402695	137762	3443572	2433541	5713530	2861723	5341055	1908701	14784538	2490800	3073770	7377896
m_192	7968512	8286393	4808188	8162153	42145319	3667459	3813435	769494	13324268	3960041	4535163	108306316	4733938	8658526	308612533	3717109	6684905	19479999	109137603	5096917	9001118	2856712	5170140	28999815	5018979	14215615	8062630	14927165	8927646	4958594	3696881	5150682	7645057	7371942	5792772	4613290	156304741	5688693	1636696	3462830	15843753	6051819	43656733	8015170	36518530	5485261	4959769	2744416
m_193	32547			134465	176663	42900			125309			51388	134781	193917	45779	69971			59811	156332		46220	130143			81599					263516	282724	134354	32626	91575	55142		64778	87311		78761					173957		77567
m_194	983862	1087742	1061773	563944	882862	742842	436624	489443	662441	679313	719631	405383	763461	854001	778341	1008941	1166449	448830	1122237	389486	1310480	799056	639681	491672	677681	770746	675219	1047605	771265	412257	694017	666951	656773	619767	343355	261451	1139627	622885	436547	1584539	2503152	879799	895490	785130	639864	754423	707165	1206304
m_209	331381	6606278	441505	278386	1170081	5706831	902712	181206		519101		121519	2558450	5231375	214547	662531	642240	222585	347561	1346912	1697756	370780	654921	2157743		476583	354617	512849	293408	1634461	1410875	614445	187988	263079	476449	435296	208816	211957	266099	372344	225770	1794550	257780	1018299	314990	87043	2114557	2831958
m_211	8716405	13822632	11446552	11010205	33708204	27226670	14903317	4887771	46264832	6360856	20159702	3108328	17021679	33443056	3334736	9445364	13313108	9474730	3114852	5787029	14937814	11221320	14679621	3575433	12961296	5931681	32998131	10974494	4625351	7187135	7264488	7640747	1564577	14610811	12628906	11108631	9493947	9769353	571027	28466092	710719	12169885	25044605	18893768	477309	1647352	9766123	21897933
m_212	2158459	750213	1622453	397956	3548949				1736298	1100150	634421		1506181	1221784	4825411	594221			391372		2433843	87434	3591952	2982738	379821	2902883	1948098	1187849	912671						549572		5434706			3468465	381657		3505614	1527990		65353	1327734	
m_213	1204774	1880806	523736	752966	1125033	2298424	1704508	233475	4444274	1028770	279297	234497	3236842	3268194	372566	688197	1150715	766392	392390	1407850	1702468	370435	1492936	123184	1058181	1171280	77010	144395	240322	239260	1138381	1476707	543047	383958	989440	588703		452459	329463	3170571	750261	1466561	153091	887425	304565	367321	3862110	2594160
m_229	59389875	33743405	51557202	171838895	71948798	85174160	26873943	6827555	27526702	32360739	25294014	11685004	24411921	11561221	111195907	15137420	39608208	508983716	28001946	17577537	52114530	40831116	118631294	172341139	42575872	97980521	10935314	111350295	144522364	1446765	27727154	22242845	21034557	18038474	79332161	17228888	163657918	33153296	51273476	128430518	142156945	10335820	330034403	6267120	56752471	24829032	43896629	23646580
m_231	225592243	47570783	96117941	33859214	196164332	75741480	48833234	40271599	149533509	98763838	87410937	134505980	268614498	82694543	125867867	266451452	80717674	25759107	214626396	38383156	101698803	88020732	90698985	134903027	55908096	202400692	119573123	100589792	32476348	24617985	56687400	23778058	29784313	51917857	32636537	21242102	43282092	10712985	16490636	220593440	273073094	49677575	176620749	125089900	191905243	34003339	58357557	37464383
