otu_id	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
ca795a3b41719735c904d792bc2d461b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	1943	2566	2216	303	65	262	598	0	0	0	0	0	0	0	0
1f398eb249acdc18269109c107ab7fb5	0	0	0	0	348	135	157	172	0	0	0	0	1713	1945	1977	2301	0	131	139	86	0	0	0	0	122	101	117	0	0	0	0	0
9774e44bbe52288f55a7b6e079778afc	0	0	0	0	437	431	418	0	0	0	0	0	1109	1064	1048	1194	844	885	847	821	0	0	0	0	0	0	0	0	0	0	0	0
c339035a2bb854df7e0aef52918221da	0	0	0	0	231	305	268	306	0	0	0	0	0	0	0	0	0	0	0	0	3076	519	4058	0	0	0	0	0	0	0	0	0
84457c340342915e207b61ebc03e6b55	0	628	401	0	132	274	153	207	0	0	0	0	129	80	134	123	71	102	45	50	448	125	471	314	0	0	0	0	4760	0	0	0
7da201a2941775518118a30e952220a6	64	62	272	0	0	0	0	0	122	1655	171	327	0	0	0	0	129	101	186	98	363	250	417	225	540	565	580	360	56	688	0	729
13f92b6f3215a530f1c901711a61ae6d	0	0	0	0	0	0	0	0	726	745	713	493	1095	1267	1091	852	0	0	0	0	0	0	0	0	216	263	176	0	0	0	0	0
edcc72a5edd3051399218f2bd2d72a22	475	215	202	155	413	0	0	0	0	0	0	0	86	65	93	78	0	0	0	0	720	1661	340	397	422	407	423	257	0	321	352	279
9289b46d681087bbb9ce92dac5d9aab1	0	425	696	596	0	0	0	0	0	0	0	0	0	0	0	0	1437	1403	1339	1270	0	0	0	0	0	0	0	0	0	0	0	0
46cec313534b7376679350b4666fd5f1	310	0	355	142	245	181	223	280	0	0	0	0	466	312	448	367	701	685	637	747	0	0	0	0	140	109	109	59	0	158	102	135
3be46bb3df82d7615222fc1c194443e1	2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1445	1316	556	1186	0	0	0	0	0	0	0	0
5c41c8d742b6cb7e6b62f8381c02bded	0	0	339	0	0	0	0	0	662	274	487	761	0	0	0	0	82	108	297	0	0	0	0	0	130	298	163	114	1437	319	1224	0
b37286cca2762dc8909b0a9da530d242	0	909	0	1090	1113	700	1063	746	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0
e4b07003dd335a3f1048a4522ac9180a	546	0	449	299	193	231	242	422	51	0	0	0	0	39	60	51	716	565	594	606	0	0	0	0	265	227	254	177	0	220	134	205
59d30fd56653d56a25351b4910e98c42	529	541	357	448	1381	1268	1103	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6a81a52ec255df7bcd973502922b3dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1992	1316	1189	1860	0	0	0	0	0	0	0	0
a0b9f6a4666c56732650c50fac4579ec	654	64	85	201	0	0	0	0	327	309	282	502	0	57	0	0	179	267	237	119	0	0	0	0	671	507	601	509	379	176	126	0
89de5a5e6c92603b93b57d99fc701892	384	43	231	0	0	0	0	0	0	0	0	0	65	56	105	68	0	0	0	0	0	103	0	85	619	511	699	310	0	914	1297	756
1f737c95cdf17e10221a5552d0a137d2	0	181	535	0	81	134	104	84	0	718	350	0	155	154	195	210	194	351	432	204	0	0	0	262	143	133	161	108	0	0	896	0
bd693c1ef4f6490c73cce3f15c88528e	170	97	210	201	214	240	252	252	62	0	0	417	134	142	221	142	153	174	170	122	170	146	130	134	188	209	224	152	0	197	0	303
2c25bfc5f991f5777f59c30d75783960	628	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	1618	393	1331
9dc375b5329e9cb246773609a4cffde4	0	0	0	0	0	0	0	0	0	0	0	0	775	1068	1072	1295	0	0	0	0	0	0	0	0	0	0	408	443	0	0	0	0
acee55144b0d2693399bdf1817d49527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	2820	614	373	0	0	0	0	0	0	0	0
8c2bfc29fb4c41565ec0aa9c503cb2ff	430	256	161	108	140	154	160	187	0	0	0	0	254	228	381	312	263	510	406	381	0	0	0	0	0	0	0	150	0	0	0	298
35a1ea52b7ba0cf5b7758f4b6b6c2755	0	0	0	0	1152	1507	1097	962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
031a76086a272031f2be9e8732a0c613	246	618	219	496	543	1321	436	320	0	0	0	0	0	0	0	0	128	177	97	88	0	0	0	0	0	0	0	0	0	0	0	0
73222f333ec4703057e5099071b1cb67	158	0	367	73	168	383	358	152	0	0	0	0	57	76	0	72	0	0	0	0	772	419	838	740	0	0	0	0	0	0	0	0
60c4712ec54db703a094577bfd555225	133	66	169	164	197	240	198	223	64	0	0	393	97	98	149	101	169	178	174	124	165	127	136	116	160	173	179	124	0	184	0	240
2c36330f5ce45b67c4a4ceeb1bfca77a	0	0	0	0	450	364	279	251	0	0	0	0	0	0	0	0	0	0	0	0	536	427	483	425	0	0	0	0	0	376	414	357
0ea04fbae644bd2e98c2735d84008388	0	548	0	0	0	0	0	0	0	0	0	0	109	120	85	160	322	609	509	227	0	0	0	395	348	317	476	129	0	0	0	0
732b4beeaacba43a6ecdc7a791c01adb	0	0	0	0	0	0	0	0	1146	1224	1066	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b1ff6a8d479eb03f53221f07ff0fd6b	0	0	0	0	0	0	0	0	0	4301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f5675a741fbf1088ec536fb2459eacf	146	229	0	0	116	203	175	164	869	633	1452	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca886ddb0b2c7623f94e1de490faa3d6	0	369	164	252	99	41	92	0	0	0	0	0	561	632	535	657	298	161	179	201	0	0	0	0	0	0	0	0	0	0	0	0
074e51a62292a68783a0710abfe2046c	0	0	649	0	0	0	0	119	0	0	0	0	0	0	0	0	530	475	477	594	0	0	0	0	104	93	0	169	0	300	307	390
cb125994de07ed814b5265baeeef3f6b	0	0	0	0	0	0	0	0	290	450	1766	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	121	0
5b6f4f46b865d1fe8b15b425a0d5ec2e	0	0	557	253	0	0	133	244	0	0	0	0	159	145	201	204	0	0	0	0	0	0	0	0	133	135	152	220	0	439	587	414
38439645622700e3d90d677a5e7149e0	0	0	0	0	415	143	333	303	0	0	0	0	0	0	0	0	844	573	622	683	0	0	0	0	0	0	0	0	0	0	0	0
10ff717fb0dc9e5be5e826a0c9155d3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1436	709	950	762
74c6528c103a64f9fed2e8deffc058af	0	0	0	1640	0	0	0	130	0	0	0	0	0	0	0	0	489	558	219	334	0	248	0	152	0	0	0	0	0	0	0	0
8387db055d2ade75e5a5819eeb6b27b6	225	142	147	149	0	0	0	0	0	0	0	0	171	209	267	310	152	260	270	227	341	210	434	227	0	0	0	0	0	0	0	0
ebbb00007aa78f3603a4a10dc4ae1089	770	0	0	0	0	0	0	0	246	207	232	264	0	0	0	0	0	173	155	101	0	0	0	0	419	334	372	246	144	0	0	0
d7a55f862f78c10c09e8d8f16f53195f	439	296	0	320	178	273	323	534	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	321	234	288	129	0	199	0	0
ce2863e103d8ef9d55f7b04d333225cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	156	272	226	887	616	753	346	0	0	0	0	0	0	0	0
22ff083c7392101b6627dde344d635fa	388	335	178	0	0	48	0	0	0	0	0	0	113	142	151	248	200	146	213	152	0	0	0	0	178	104	222	42	696	0	0	0
d5f6e68a4044f9728d95a585f22bf910	0	437	389	368	0	0	0	0	0	0	0	0	0	0	0	0	611	571	600	560	0	0	0	0	0	0	0	0	0	0	0	0
067c68ff86107f41c83f5573d422ae95	0	0	0	0	0	0	0	0	483	400	452	0	0	0	0	0	0	0	0	0	0	0	0	0	794	740	612	0	0	0	0	0
7ed2641129bc77604ff0bda009adc4d9	0	0	0	0	193	325	251	331	0	0	0	0	365	222	463	674	215	139	157	145	0	0	0	0	0	0	0	0	0	0	0	0
af2f9e64cf5cf7bdacf772ad4190546a	0	0	0	0	0	0	0	0	388	608	1429	613	0	0	0	0	0	0	0	0	0	0	0	0	48	69	0	82	0	0	0	0
798f7b0dba871b968d5b9debd8b55d09	0	0	182	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	369	224	0	282	0	0	567	568	406
74c7a26efeac6e7cedb0ab39708fc4c3	456	393	214	383	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	1011	182	208	276
86e664c94ab730e0d5979eafdb7c958a	312	259	179	181	131	163	112	90	0	0	0	0	0	0	0	0	0	0	0	0	135	95	119	60	0	0	0	0	380	254	367	302
f42a78eebb6f557fe5e7ff07f8bc2431	236	307	195	199	725	578	517	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8237cb14222e6de3f90cdd0d9fa08a65	0	0	0	0	65	95	185	108	448	320	437	423	173	105	164	183	0	41	102	0	0	0	0	0	40	79	51	42	0	0	0	0
6e848dbd231362c06f752b06dc5cf6f6	0	0	288	376	0	0	0	0	0	0	0	0	248	228	290	216	313	235	437	332	0	0	0	0	0	0	0	0	0	0	0	0
df10e7af9f1d9d4c994b252186b90e7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2873	0	0	0
82685c613eac0d3edf96eb7d077811f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	759	805	328	0	0	0	0	0	0	0	0
41cc928160d04dca845cf52733192aa1	0	0	0	0	0	0	0	0	194	318	1223	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	106	0
21a5d77376cd4177a6c5241caba2f3c2	167	88	0	0	0	0	0	62	309	241	399	283	0	0	0	0	0	0	0	0	0	0	0	0	105	113	79	89	591	73	77	0
b293979a2acc8f0a2ce5c42160cc6235	0	0	0	0	0	306	0	225	0	0	0	0	0	0	0	0	0	0	217	229	380	429	386	402	0	0	0	0	0	0	0	0
f6373eae60eb2c04d04022720cbc0fc1	0	0	0	0	286	250	214	248	0	0	0	0	0	0	0	0	186	164	192	158	0	0	0	0	0	0	0	0	857	0	0	0
312b7d3b6b83388325faa4ce7fcd596b	0	0	0	0	169	143	162	184	0	0	0	0	0	0	0	0	252	140	210	161	389	207	300	229	0	0	0	0	0	0	0	0
0cb802d364c37d03dc98763ba0dcbc29	0	206	0	178	0	0	0	0	0	0	0	0	395	427	403	447	168	91	111	117	0	0	0	0	0	0	0	0	0	0	0	0
2116429fbe577085656d35fb448bd007	0	0	0	0	0	0	0	0	0	0	0	0	122	265	76	141	0	0	0	0	0	0	0	0	304	413	307	285	624	0	0	0
f07a0a1b9b8957e222cd3b0b38936c32	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	418	841	907	174	0	0	0	0	0	0	0	0	0	0	0	0
03b7f2407fee2bda6394f94567b1e313	0	0	0	0	0	0	0	0	189	308	261	172	73	44	63	79	141	245	288	102	0	0	0	0	76	82	89	33	0	0	74	47
0e080c8a58371c853be20bd67f960438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	1006	695
b928af1663852b1706d30a98d5081cb2	0	0	0	0	0	0	0	0	704	154	638	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4665cc32eb773a97fa824c30f6808dcc	136	0	0	112	59	83	0	0	0	0	0	0	65	61	88	62	0	0	0	0	81	53	77	67	0	0	0	0	254	284	349	335
309082bc2a048238bbbf6a27cdc85ef1	0	0	0	1002	0	0	0	0	0	0	0	0	0	0	0	0	277	306	114	195	0	117	0	76	0	0	0	0	0	0	0	0
8a87f2ff48d9c23610b641973e2fffa3	0	0	0	939	0	0	0	0	0	0	0	0	0	0	0	0	257	284	101	167	0	116	0	66	0	0	0	0	0	0	0	0
d4841197fff8603ce81fbbe34b302ea7	233	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	224	234	193	286	167	90	145
faaaca3992a2b908ca6999bda753fb73	0	0	0	0	0	0	0	0	0	0	0	0	49	53	0	61	154	261	227	110	0	0	0	0	227	216	361	129	0	0	0	0
2d8876fd4c542304e171be5e243f65ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	444	463	416	0	0	0	0	0	0	0	0	0	0	0	0
ef6df367d2182306c73216aad25bf89e	0	0	0	0	0	0	0	0	65	320	0	209	0	0	0	0	0	0	0	0	0	0	0	71	104	0	157	44	93	163	351	207
